year,state,crop,yield
2018,WA,CORN,192.0
2018,WA,CORN,257.0
2018,WA,CORN,256.0
2018,WA,CORN,32.0
2018,WA,CORN,28.0
2018,WA,CORN,29.0
2022,WA,CORN,225.8
2017,WA,CORN,227.1
2022,WA,CORN,29.1
2017,WA,CORN,28.6
2022,WA,CORN,271.1
2017,WA,CORN,
2022,WA,CORN,19.9
2017,WA,CORN,20.8
2017,WA,CORN,
2022,WA,CORN,21.4
2017,WA,CORN,23.0
2018,WA,CORN,240.8
2017,WA,CORN,274.8
2015,WA,CORN,245.3
2019,WA,CORN,246.4
2017,WA,CORN,219.4
2015,WA,CORN,208.8
2018,WA,CORN,198.0
2017,WA,CORN,172.6
2019,WA,CORN,218.1
2018,WA,CORN,213.1
2017,WA,CORN,154.6
2016,WA,CORN,235.0
2015,WA,CORN,151.3
2018,WA,CORN,181.1
2017,WA,CORN,296.3
2015,WA,CORN,245.3
2020,WA,CORN,242.8
2018,WA,CORN,270.2
2023,WA,CORN,232.9
2022,WA,CORN,218.3
2021,WA,CORN,215.9
2020,WA,CORN,215.6
2017,WA,CORN,202.1
2019,WA,CORN,246.4
2017,WA,CORN,252.9
2015,WA,CORN,209.9
2025,WA,CORN,264.8
2024,WA,CORN,214.1
2023,WA,CORN,234.1
2022,WA,CORN,208.0
2021,WA,CORN,207.9
2017,WA,CORN,228.4
2015,WA,CORN,200.0
2023,WA,CORN,224.3
2022,WA,CORN,215.1
2025,WA,CORN,261.8
2024,WA,CORN,230.0
2023,WA,CORN,235.6
2022,WA,CORN,217.4
2021,WA,CORN,247.7
2020,WA,CORN,219.4
2017,WA,CORN,198.4
2018,WA,CORN,160.3
2017,WA,CORN,172.6
2021,WA,CORN,224.5
2020,WA,CORN,201.8
2018,WA,CORN,218.5
2025,WA,CORN,238.8
2024,WA,CORN,241.5
2023,WA,CORN,248.4
2022,WA,CORN,226.7
2021,WA,CORN,264.6
2020,WA,CORN,234.6
2025,WA,CORN,251.0
2025,WA,CORN,235.0
2025,WA,CORN,231.0
2025,WA,CORN,235.0
2024,WA,CORN,235.0
2024,WA,CORN,250.0
2024,WA,CORN,235.0
2024,WA,CORN,235.0
2024,WA,CORN,240.0
2023,WA,CORN,240.0
2023,WA,CORN,210.0
2023,WA,CORN,235.0
2023,WA,CORN,230.0
2023,WA,CORN,220.0
2022,WA,CORN,220.0
2022,WA,CORN,255.0
2022,WA,CORN,250.0
2022,WA,CORN,240.0
2022,WA,CORN,225.0
2021,WA,CORN,248.0
2021,WA,CORN,225.0
2021,WA,CORN,225.0
2021,WA,CORN,225.0
2021,WA,CORN,215.0
2020,WA,CORN,228.0
2020,WA,CORN,240.0
2020,WA,CORN,240.0
2020,WA,CORN,240.0
2020,WA,CORN,240.0
2019,WA,CORN,237.0
2019,WA,CORN,210.0
2019,WA,CORN,210.0
2019,WA,CORN,210.0
2019,WA,CORN,200.0
2018,WA,CORN,220.0
2018,WA,CORN,210.0
2018,WA,CORN,225.0
2018,WA,CORN,230.0
2018,WA,CORN,225.0
2017,WA,CORN,225.0
2017,WA,CORN,220.0
2017,WA,CORN,225.0
2017,WA,CORN,230.0
2017,WA,CORN,230.0
2016,WA,CORN,235.0
2016,WA,CORN,225.0
2016,WA,CORN,235.0
2016,WA,CORN,230.0
2016,WA,CORN,225.0
2015,WA,CORN,215.0
2015,WA,CORN,220.0
2015,WA,CORN,220.0
2015,WA,CORN,220.0
2015,WA,CORN,220.0
2022,WA,CORN,25.0
2025,WA,CORN,27.0
2024,WA,CORN,26.0
2023,WA,CORN,24.0
2022,WA,CORN,25.0
2021,WA,CORN,25.0
2020,WA,CORN,26.0
2019,WA,CORN,23.0
2018,WA,CORN,26.0
2017,WA,CORN,27.0
2016,WA,CORN,26.0
2015,WA,CORN,26.0
